INVENTORY_YEAR,INVENTORY_MONTH,PRODUCT_NUMBER,INVENTORY_COUNT
2021,4,48,1932,
2021,4,49,1400,
2021,4,50,21705,
2021,4,51,9710,
2021,4,52,5616,
2021,4,53,7060,
2021,4,54,6943,
2021,4,55,4432,
2021,4,56,14188,
2021,4,57,1599,
2021,4,58,1645,
2021,4,59,749,
2021,4,60,8419,
2021,4,61,7175,
2021,4,62,2428,
2021,4,63,2091,
2021,4,64,4175,
2021,4,65,1754,
2021,4,66,576,
2021,4,67,1354,
2021,4,68,1576,
2021,4,69,609,
2021,4,70,803,
2021,4,71,1009,
2021,4,72,1009,
2021,4,73,1508,
2021,4,74,2690,
2021,4,75,2416,
2021,4,76,1938,
2021,4,77,2354,
2021,4,78,1073,
2021,4,79,733,
2021,4,80,889,
2021,4,81,573,
2021,4,82,2075,
2021,4,83,2034,
2021,4,84,-183,
2021,4,85,1390,
2021,4,86,17366,
2021,4,87,19789,
2021,4,88,18456,
2021,4,89,21414,
2021,4,90,29722,
2021,4,91,14100,
2021,4,92,6273,
2021,4,93,17880,
2021,4,94,26290,
2021,4,95,20552,
2021,4,96,3404,
2021,4,97,1375,
2021,4,98,9473,
2021,4,99,4885,
2021,4,100,11760,
2021,4,101,985,
2021,4,102,592,
2021,4,103,860,
2021,4,104,833,
2021,4,105,699,
2021,4,106,609,
2021,4,107,869,
2021,4,108,904,
2021,4,109,4337,
2021,4,110,813,
2021,4,111,662,
2021,4,112,3610,
2021,4,113,4663,
2021,4,114,736,
2021,4,115,2766,
2021,5,1,3087,
2021,5,2,5156,
2021,5,3,4422,
2021,5,4,5786,
2021,5,5,1466,
2021,5,6,1102,
2021,5,7,3075,
2021,5,8,2733,
2021,5,9,2393,
2021,5,10,2336,
2021,5,11,528,
2021,5,12,996,
2021,5,13,1058,
2021,5,14,2816,
2021,5,15,820,
2021,5,16,36712,
2021,5,17,4192,
2021,5,18,2994,
2021,5,19,2263,
2021,5,20,2531,
2021,5,21,2567,
2021,5,22,753,
2021,5,23,737,
2021,5,24,2456,
2021,5,25,1995,
2021,5,26,1896,
2021,5,27,1938,
2021,5,28,1909,
2021,5,29,2944,
2021,5,30,3088,
2021,5,31,3328,
2021,5,32,8827,
2021,5,33,9951,
2021,5,34,6282,
2021,5,35,5405,
2021,5,36,7031,
2021,5,37,3587,
2021,5,38,2069,
2021,5,39,4174,
2021,5,40,6908,
2021,5,41,2425,
2021,5,42,3139,
2021,5,43,6445,
2021,5,44,5530,
2021,5,45,1630,
2021,5,46,1792,
2021,5,47,5737,
2021,5,48,1978,
2021,5,49,1288,
2021,5,50,20355,
2021,5,51,9930,
2021,5,52,5840,
2021,5,53,7510,
2021,5,54,7235,
2021,5,55,4722,
2021,5,56,13708,
2021,5,57,1685,
2021,5,58,1879,
2021,5,59,1005,
2021,5,60,10175,
2021,5,61,7251,
2021,5,62,2816,
2021,5,63,2403,
2021,5,64,4679,
2021,5,65,2386,
2021,5,66,680,
2021,5,67,1530,
2021,5,68,1690,
2021,5,69,709,
2021,5,70,901,
2021,5,71,1073,
2021,5,72,1061,
2021,5,73,1878,
2021,5,74,2758,
2021,5,75,2446,
2021,5,76,2474,
2021,5,77,2600,
2021,5,78,997,
2021,5,79,873,
2021,5,80,1075,
2021,5,81,723,
2021,5,82,2463,
2021,5,83,2266,
2021,5,84,-57,
2021,5,85,1472,
2021,5,86,16850,
2021,5,87,19155,
2021,5,88,17754,
2021,5,89,20090,
2021,5,90,28170,
2021,5,91,12556,
2021,5,92,5877,
2021,5,93,16910,
2021,5,94,24676,
2021,5,95,18706,
2021,5,96,3298,
2021,5,97,1287,
2021,5,98,9037,
2021,5,99,4279,
2021,5,100,11200,
2021,5,101,941,
2021,5,102,698,
2021,5,103,810,
2021,5,104,789,
2021,5,105,713,
2021,5,106,645,
2021,5,107,829,
2021,5,108,884,
2021,5,109,4035,
2021,5,110,597,
2021,5,111,556,
2021,5,112,3466,
2021,5,113,4199,
2021,5,114,706,
2021,5,115,2598,
2021,6,1,2693,
2021,6,2,4046,
2021,6,3,4738,
2021,6,4,6976,
2021,6,5,2274,
2021,6,6,1004,
2021,6,7,2907,
2021,6,8,2141,
2021,6,9,1901,
2021,6,10,6052,
2021,6,11,654,
2021,6,12,1066,
2021,6,13,1106,
2021,6,14,3104,
2021,6,15,600,
2021,6,16,34978,
2021,6,17,3958,
2021,6,18,3228,
2021,6,19,2159,
2021,6,20,2053,
2021,6,21,2425,
2021,6,22,1385,
2021,6,23,683,
2021,6,24,2524,
2021,6,25,2103,
2021,6,26,2036,
2021,6,27,1960,
2021,6,28,2055,
2021,6,29,4498,
2021,6,30,2582,
2021,6,31,4998,
2021,6,32,13277,
2021,6,33,7995,
2021,6,34,11878,
2021,6,35,8151,
2021,6,36,6007,
2021,6,37,3333,
2021,6,38,1721,
2021,6,39,3484,
2021,6,40,11762,
2021,6,41,4431,
2021,6,42,3065,
2021,6,43,6133,
2021,6,44,5144,
2021,6,45,1528,
2021,6,46,1810,
2021,6,47,5615,
2021,6,48,2102,
2021,6,49,1160,
2021,6,50,26603,
2021,6,51,9530,
2021,6,52,5804,
2021,6,53,7482,
2021,6,54,7479,
2021,6,55,4638,
2021,6,56,13022,
2021,6,57,1703,
2021,6,58,1807,
2021,6,59,1015,
2021,6,60,9335,
2021,6,61,7213,
2021,6,62,2688,
2021,6,63,2341,
2021,6,64,4759,
2021,6,65,2460,
2021,6,66,674,
2021,6,67,1484,
2021,6,68,1452,
2021,6,69,823,
2021,6,70,849,
2021,6,71,1061,
2021,6,72,1037,
2021,6,73,2150,
2021,6,74,2926,
2021,6,75,2558,
2021,6,76,2336,
2021,6,77,2836,
2021,6,78,813,
2021,6,79,875,
2021,6,80,1101,
2021,6,81,669,
2021,6,82,2575,
2021,6,83,2280,
2021,6,84,-297,
2021,6,85,1568,
2021,6,86,14688,
2021,6,87,17797,
2021,6,88,15464,
2021,6,89,17928,
2021,6,90,25234,
2021,6,91,10842,
2021,6,92,5449,
2021,6,93,14198,
2021,6,94,22576,
2021,6,95,16452,
2021,6,96,3060,
2021,6,97,1671,
2021,6,98,8055,
2021,6,99,3945,
2021,6,100,10218,
2021,6,101,901,
2021,6,102,664,
2021,6,103,756,
2021,6,104,719,
2021,6,105,577,
2021,6,106,533,
2021,6,107,709,
2021,6,108,794,
2021,6,109,3309,
2021,6,110,695,
2021,6,111,638,
2021,6,112,2670,
2021,6,113,6511,
2021,6,114,656,
2021,6,115,1640,
2021,7,1,4111,
2021,7,2,6838,
2021,7,3,4154,
2021,7,4,5612,
2021,7,5,1954,
2021,7,6,962,
2021,7,7,2435,
2021,7,8,1903,
2021,7,9,1713,
2021,7,10,5836,
2021,7,11,762,
2021,7,12,1376,
2021,7,13,1404,
2021,7,14,3100,
2021,7,15,684,
2021,7,16,34376,
2021,7,17,4078,
2021,7,18,3640,
2021,7,19,2529,
2021,7,20,1681,
2021,7,21,2109,
2021,7,22,1293,
2021,7,23,943,
2021,7,24,2896,
2021,7,25,2503,
2021,7,26,2044,
2021,7,27,2206,
2021,7,28,2181,
2021,7,29,4204,
2021,7,30,2286,
2021,7,31,4432,
2021,7,32,11789,
2021,7,33,6193,
2021,7,34,9946,
2021,7,35,7349,
2021,7,36,10093,
2021,7,37,4891,
2021,7,38,2511,
2021,7,39,5396,
2021,7,40,10748,
2021,7,41,4207,
2021,7,42,3221,
2021,7,43,6029,
2021,7,44,5214,
2021,7,45,1642,
2021,7,46,1976,
2021,7,47,5771,
2021,7,48,2182,
2021,7,49,1044,
2021,7,50,25221,
2021,7,51,9914,
2021,7,52,6040,
2021,7,53,7392,
2021,7,54,7717,
2021,7,55,5064,
2021,7,56,12540,
2021,7,57,1747,
2021,7,58,1991,
2021,7,59,1193,
2021,7,60,10951,
2021,7,61,7445,
2021,7,62,2962,
2021,7,63,2281,
2021,7,64,5219,
2021,7,65,2704,
2021,7,66,794,
2021,7,67,1588,
2021,7,68,1610,
2021,7,69,963,
2021,7,70,959,
2021,7,71,1081,
2021,7,72,1135,
2021,7,73,2384,
2021,7,74,2512,
2021,7,75,2724,
2021,7,76,2414,
2021,7,77,2868,
2021,7,78,969,
2021,7,79,823,
2021,7,80,1213,
2021,7,81,525,
2021,7,82,2733,
2021,7,83,2508,
2021,7,84,733,
2021,7,85,1674,
2021,7,86,19364,
2021,7,87,23343,
2021,7,88,20070,
2021,7,89,19840,
2021,7,90,27758,
2021,7,91,12332,
2021,7,92,5883,
2021,7,93,18740,
2021,7,94,26988,
2021,7,95,22414,
2021,7,96,2716,
2021,7,97,1527,
2021,7,98,8761,
2021,7,99,6361,
2021,7,100,8862,
2021,7,101,1021,
2021,7,102,780,
2021,7,103,716,
2021,7,104,707,
2021,7,105,717,
2021,7,106,591,
2021,7,107,697,
2021,7,108,754,
2021,7,109,3067,
2021,7,110,539,
2021,7,111,586,
2021,7,112,2234,
2021,7,113,6227,
2021,7,114,630,
2021,7,115,1074,
2021,8,1,5051,
2021,8,2,6222,
2021,8,3,5554,
2021,8,4,4402,
2021,8,5,1724,
2021,8,6,876,
2021,8,7,2257,
2021,8,8,4065,
2021,8,9,1539,
2021,8,10,5350,
2021,8,11,920,
2021,8,12,1336,
2021,8,13,1650,
2021,8,14,3582,
2021,8,15,856,
2021,8,16,32604,
2021,8,17,4288,
2021,8,18,3806,
2021,8,19,3017,
2021,8,20,3553,
2021,8,21,4489,
2021,8,22,1205,
2021,8,23,831,
2021,8,24,2064,
2021,8,25,2739,
2021,8,26,2210,
2021,8,27,2352,
2021,8,28,2451,
2021,8,29,3762,
2021,8,30,3944,
2021,8,31,4006,
2021,8,32,10297,
2021,8,33,11819,
2021,8,34,9050,
2021,8,35,6697,
2021,8,36,8881,
2021,8,37,4471,
2021,8,38,2249,
2021,8,39,4956,
2021,8,40,9976,
2021,8,41,3951,
2021,8,42,3399,
2021,8,43,6259,
2021,8,44,5598,
2021,8,45,1666,
2021,8,46,2084,
2021,8,47,5995,
2021,8,48,2358,
2021,8,49,1542,
2021,8,50,23485,
2021,8,51,10296,
2021,8,52,6104,
2021,8,53,7720,
2021,8,54,7935,
2021,8,55,5498,
2021,8,56,12330,
2021,8,57,1893,
2021,8,58,2235,
2021,8,59,1239,
2021,8,60,10411,
2021,8,61,7921,
2021,8,62,3520,
2021,8,63,2497,
2021,8,64,5691,
2021,8,65,3206,
2021,8,66,974,
2021,8,67,1670,
2021,8,68,1972,
2021,8,69,1089,
2021,8,70,1145,
2021,8,71,1159,
2021,8,72,1363,
2021,8,73,2486,
2021,8,74,3020,
2021,8,75,2770,
2021,8,76,2708,
2021,8,77,3302,
2021,8,78,1207,
2021,8,79,861,
2021,8,80,1371,
2021,8,81,673,
2021,8,82,3119,
2021,8,83,2716,
2021,8,84,1137,
2021,8,85,1828,
2021,8,86,17424,
2021,8,87,22251,
2021,8,88,17326,
2021,8,89,18140,
2021,8,90,25616,
2021,8,91,11240,
2021,8,92,5459,
2021,8,93,16926,
2021,8,94,22822,
2021,8,95,20806,
2021,8,96,2500,
2021,8,97,1441,
2021,8,98,8127,
2021,8,99,5885,
2021,8,100,8000,
2021,8,101,1129,
2021,8,102,892,
2021,8,103,674,
2021,8,104,681,
2021,8,105,907,
2021,8,106,705,
2021,8,107,683,
2021,8,108,740,
2021,8,109,2831,
2021,8,110,1281,
2021,8,111,740,
2021,8,112,1910,
2021,8,113,6003,
2021,8,114,596,
2021,8,115,4864,
2021,9,1,6171,
2021,9,2,4830,
2021,9,3,3970,
2021,9,4,8320,
2021,9,5,2562,
2021,9,6,1294,
2021,9,7,3827,
2021,9,8,3619,
2021,9,9,1269,
2021,9,10,4820,
2021,9,11,908,
2021,9,12,1374,
2021,9,13,1630,
2021,9,14,2998,
2021,9,15,828,
2021,9,16,30568,
2021,9,17,4552,
2021,9,18,3172,
2021,9,19,3441,
2021,9,20,3089,
2021,9,21,4327,
2021,9,22,1061,
2021,9,23,739,
2021,9,24,2450,
2021,9,25,3079,
2021,9,26,2130,
2021,9,27,2530,
2021,9,28,2567,
2021,9,29,5474,
2021,9,30,3384,
2021,9,31,6324,
2021,9,32,14937,
2021,9,33,10561,
2021,9,34,14010,
2021,9,35,9529,
2021,9,36,7531,
2021,9,37,3653,
2021,9,38,1961,
2021,9,39,4256,
2021,9,40,7570,
2021,9,41,3559,
2021,9,42,3551,
2021,9,43,6445,
2021,9,44,5464,
2021,9,45,1762,
2021,9,46,2212,
2021,9,47,6321,
2021,9,48,2256,
2021,9,49,1434,
2021,9,50,29783,
2021,9,51,10580,
2021,9,52,6218,
2021,9,53,7644,
2021,9,54,7805,
2021,9,55,5784,
2021,9,56,12054,
2021,9,57,1745,
2021,9,58,2485,
2021,9,59,1429,
2021,9,60,9529,
2021,9,61,8217,
2021,9,62,3814,
2021,9,63,2635,
2021,9,64,5759,
2021,9,65,3014,
