PRODUCT_NUMBER,YEAR,MONTH,EXPECTED_VOLUME
44,2022,12,383
45,2021,1,80
45,2021,2,51
45,2021,3,214
45,2021,4,300
45,2021,5,141
45,2021,6,210
45,2021,7,133
45,2021,8,223
45,2021,9,98
45,2021,10,211
45,2021,11,53
45,2021,12,90
45,2022,1,71
45,2022,2,72
45,2022,3,234
45,2022,4,184
45,2022,5,116
45,2022,6,204
45,2022,7,113
45,2022,8,122
45,2022,9,166
45,2022,10,368
45,2022,11,38
45,2022,12,218
46,2021,1,76
46,2021,2,34
46,2021,3,158
46,2021,4,224
46,2021,5,275
46,2021,6,159
46,2021,7,72
46,2021,8,105
46,2021,9,124
46,2021,10,249
46,2021,11,35
46,2021,12,84
46,2022,1,19
46,2022,2,62
46,2022,3,127
46,2022,4,107
46,2022,5,192
46,2022,6,205
46,2022,7,52
46,2022,8,128
46,2022,9,235
46,2022,10,380
46,2022,11,154
46,2022,12,218
47,2021,1,102
47,2021,2,130
47,2021,3,389
47,2021,4,841
47,2021,5,444
47,2021,6,664
47,2021,7,429
47,2021,8,282
47,2021,9,286
47,2021,10,781
47,2021,11,118
47,2021,12,468
47,2022,1,200
47,2022,2,119
47,2022,3,402
47,2022,4,730
47,2022,5,349
47,2022,6,698
47,2022,7,378
47,2022,8,418
47,2022,9,611
47,2022,10,1199
47,2022,11,408
47,2022,12,240
48,2021,1,62
48,2021,2,36
48,2021,3,187
48,2021,4,128
48,2021,5,79
48,2021,6,93
48,2021,7,182
48,2021,8,57
48,2021,9,278
48,2021,10,459
48,2021,11,181
48,2021,12,91
48,2022,1,78
48,2022,2,117
48,2022,3,259
48,2022,4,264
48,2022,5,193
48,2022,6,179
48,2022,7,194
48,2022,8,196
48,2022,9,174
48,2022,10,428
48,2022,11,88
48,2022,12,76
49,2021,1,35
49,2021,2,10
49,2021,3,55
49,2021,4,244
49,2021,5,100
49,2021,6,110
49,2021,7,90
49,2021,8,89
49,2021,9,90
49,2021,10,205
49,2021,11,97
49,2021,12,35
49,2022,1,50
49,2022,2,21
49,2022,3,111
49,2022,4,59
49,2022,5,135
49,2022,6,126
49,2022,7,61
49,2022,8,104
49,2022,9,121
49,2022,10,178
49,2022,11,58
49,2022,12,79
50,2021,1,1001
50,2021,2,201
50,2021,3,1778
50,2021,4,3060
50,2021,5,1459
50,2021,6,2239
50,2021,7,1453
50,2021,8,1390
50,2021,9,2300
50,2021,10,2468
50,2021,11,487
50,2021,12,998
50,2022,1,781
50,2022,2,304
50,2022,3,1423
50,2022,4,1834
50,2022,5,1832
50,2022,6,2374
50,2022,7,2943
50,2022,8,1253
50,2022,9,1440
50,2022,10,5024
50,2022,11,1762
50,2022,12,677
51,2021,1,452
51,2021,2,157
51,2021,3,608
51,2021,4,898
51,2021,5,689
51,2021,6,1424
51,2021,7,474
51,2021,8,522
51,2021,9,612
51,2021,10,1966
51,2021,11,247
51,2021,12,543
51,2022,1,559
51,2022,2,266
51,2022,3,1133
51,2022,4,1003
51,2022,5,679
51,2022,6,1453
51,2022,7,293
51,2022,8,715
51,2022,9,959
51,2022,10,1991
51,2022,11,535
51,2022,12,293
52,2021,1,324
52,2021,2,238
52,2021,3,386
52,2021,4,1032
52,2021,5,218
52,2021,6,446
52,2021,7,275
52,2021,8,377
52,2021,9,300
52,2021,10,1539
52,2021,11,341
52,2021,12,295
52,2022,1,123
52,2022,2,180
52,2022,3,363
52,2022,4,647
52,2022,5,373
52,2022,6,606
52,2022,7,390
52,2022,8,701
52,2022,9,70
52,2022,10,1466
52,2022,11,511
52,2022,12,640
53,2021,1,163
53,2021,2,728
53,2021,3,476
53,2021,4,943
53,2021,5,252
53,2021,6,500
53,2021,7,664
53,2021,8,260
53,2021,9,724
53,2021,10,1459
53,2021,11,435
53,2021,12,395
53,2022,1,99
53,2022,2,281
53,2022,3,1038
53,2022,4,1337
53,2022,5,509
53,2022,6,787
53,2022,7,514
53,2022,8,641
53,2022,9,664
53,2022,10,1817
53,2022,11,755
53,2022,12,414
54,2021,1,313
54,2021,2,31
54,2021,3,513
54,2021,4,1058
54,2021,5,396
54,2021,6,474
54,2021,7,429
54,2021,8,465
54,2021,9,633
54,2021,10,1376
54,2021,11,584
54,2021,12,465
54,2022,1,63
54,2022,2,56
54,2022,3,521
54,2022,4,1182
54,2022,5,639
54,2022,6,660
54,2022,7,568
54,2022,8,510
54,2022,9,503
54,2022,10,1581
54,2022,11,381
54,2022,12,719
55,2021,1,514
55,2021,2,310
